采样时间,样本编号,蒸发器温度_C,冷凝器温度_C,压缩机吸气温度_C,压缩机排气温度_C,压缩机电流_A,环境温度_C,箱内平均温度_C,压缩机频率_Hz,累计运行时长_h,日开门次数,设定温度_C,距上次化霜时间_h,故障标签
2025-02-17 13:00:00,S06252,-31.878770692484085,37.86629073560688,-29.105995458183187,64.55843628684713,1.3379114983377118,23.86969680588286,-19.639375226152474,47.500244672296326,4836.2461296510855,4.0,-20,10.863096328952974,0
2025-10-26 05:00:00,S04684,-33.99410479230702,42.53504529915112,-32.32026581157403,63.861745035392175,1.178749066069617,23.424136580801207,-25.325522034433824,54.687680252544574,6352.232633147286,7.0,-22,11.828967082606393,0
2025-05-19 22:00:00,S01731,-34.16918013257623,37.640991753192125,-31.742474486362795,63.908889785228126,1.2255023124944522,24.350383163726402,-20.083823947705415,53.02056339323791,8668.921391534535,7.0,-22,11.432978593505052,0
2025-10-04 18:00:00,S04742,-32.782955998384935,53.44107863327764,-29.889720285280216,80.95113382481817,1.0701081745241212,31.946913288718925,-23.769993368268374,53.09753973659768,3903.2295800416114,8.0,-22,10.619861930803056,0
2025-04-20 14:00:00,S04521,-30.454665851855907,44.44724954804846,-26.38567096324023,71.3807306431941,1.1631719826900049,24.565647106328907,-17.989830809012876,50.301153204032175,7930.58378233428,8.0,-18,9.598192969410754,0
2025-11-13 04:00:00,S06340,-33.733285118847306,42.71349584226381,-30.730199109212016,70.87264135010824,1.0690487609307178,24.092222689394287,-20.204508729638196,52.40176342248935,8638.664987295191,8.0,-22,6.777883368660673,0
2025-02-02 02:00:00,S00576,-31.04504153288478,44.171320369342354,-29.063846730475493,65.09789210315401,1.1544657576854687,28.130732539132172,-17.41816463040332,48.93842311153969,4829.6556153045585,9.0,-18,6.529876327311467,0
2025-02-10 03:00:00,S05202,-30.779971500361206,44.586930223611574,-28.732546940086998,71.70150184545997,1.0116810387901023,26.00214404186607,-23.485091123470674,50.986784720266684,3949.5751020660523,4.0,-22,9.611191606911975,0
2025-11-02 11:00:00,S06363,-31.375609715657824,42.836227527329704,-27.20821048210965,69.02582151629599,1.1654111287160982,24.6662583389471,-16.717687102564025,51.26989199307998,4707.465950688301,3.0,-18,6.752912258903827,0
2025-12-27 13:00:00,S00439,-35.027270067730306,25.6877411741147,-32.89227971074115,48.101008309418305,1.0576006150303987,12.987537332356547,-21.08338492544354,48.51881724182534,4684.856557811912,7.0,-22,9.589094673252013,0
2025-09-08 21:00:00,S02750,-33.081372804010414,40.69830044628144,-30.092791097803996,67.16763123069748,1.4028817846093788,19.046845503308475,-23.469596499464608,49.658198089053144,5840.617689038078,4.0,-22,9.869948896990072,0
2025-02-14 06:00:00,S07487,-34.567433824678574,43.15409720476228,-32.386789897293376,74.42953994600498,1.2103434598149778,26.758069922000452,-22.036950373001833,51.87885669017359,7246.60209982489,6.0,-22,7.690229280695428,0
2025-01-03 05:00:00,S05272,-28.96948284750711,44.310918705108534,-27.20187775111713,69.17295158004231,1.2253423668269492,21.646650998606734,-19.30256350372484,57.19010672479101,1874.6458003929106,4.0,-18,9.175736371007265,0
